type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0047,35,36,00036.csv,,0.058584904,0.18415408
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0047,36,37,00037.csv,1.405754161,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0047,37,38,00038.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.386766288,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0047,39,40,00040.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.370505306,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0047,41,42,00042.csv,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.349743111,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0047,43,44,00044.csv,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.325153337,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0047,45,46,00046.csv,,0.062410515,0.214393233
charge,[2010.       7.      28.      18.       7.      53.906],4,B0047,46,47,00047.csv,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0047,47,48,00048.csv,,0.058089441,0.186689704
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.311194387,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0047,49,50,00050.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0047,51,52,00052.csv,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.339423441,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0047,53,54,00054.csv,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.284915714,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0047,55,56,00056.csv,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.281719159,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0047,57,58,00058.csv,,0.06545446,0.221453501
charge,[2010.       7.      29.      16.      59.      23.625],4,B0047,58,59,00059.csv,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0047,59,60,00060.csv,,0.058893561,0.202838618
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.260005164,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0047,61,62,00062.csv,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.266070386,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0047,63,64,00064.csv,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.241359029,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0047,65,66,00066.csv,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.22988737,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0047,67,68,00068.csv,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.228088615,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0047,69,70,00070.csv,,0.067436998,0.231821463
charge,[2010    7   30   16   20    6],4,B0047,70,71,00071.csv,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0047,71,72,00072.csv,,0.06065747,0.213996782
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0047,72,73,00073.csv,1.213985719,,
charge,[2010.       7.      30.      21.      20.      14.843],4,B0047,73,74,00074.csv,,,
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0047,74,75,00075.csv,1.217343506,,
charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0047,75,76,00076.csv,,,
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0047,76,77,00077.csv,1.207344594,,
charge,[2010.       7.      31.       6.       7.       5.562],4,B0047,77,78,00078.csv,,,
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0047,78,79,00079.csv,1.188040492,,
charge,[2010.       7.      31.      10.      29.      39.359],4,B0047,79,80,00080.csv,,,
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0047,80,81,00081.csv,1.18630475,,
impedance,[2010.       7.      31.      14.      55.      48.421],24,B0047,81,82,00082.csv,,0.070100154,0.22987797
charge,[2010.       7.      31.      15.      27.      42.562],4,B0047,82,83,00083.csv,,,
impedance,[2010.       7.      31.      18.      33.      11.796],24,B0047,83,84,00084.csv,,0.065507182,0.203551608
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0047,84,85,00085.csv,1.261393547,,
impedance,[2010.       8.       3.      17.      20.      28.062],24,B0047,85,86,00086.csv,,0.065475046,0.236928955
charge,[2010.       8.       3.      17.      52.      22.375],4,B0047,86,87,00087.csv,,,
impedance,[2010.       8.       3.      20.      57.      49.484],24,B0047,87,88,00088.csv,,0.064050183,0.203093719
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0047,88,89,00089.csv,1.264824616,,
charge,[2010.       8.       3.      22.      54.      43.062],4,B0047,89,90,00090.csv,,,
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0047,90,91,00091.csv,1.246649455,,
charge,[2010.      8.      4.      3.     19.     23.25],4,B0047,91,92,00092.csv,,,
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0047,92,93,00093.csv,1.233392415,,
charge,[2010.       8.       4.       7.      43.      19.828],4,B0047,93,94,00094.csv,,,
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0047,94,95,00095.csv,1.212925007,,
charge,[2010.       8.       4.      12.       6.      28.531],4,B0047,95,96,00096.csv,,,
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0047,96,97,00097.csv,1.19991066,,
impedance,[2010.       8.       4.      16.      32.      38.906],24,B0047,97,98,00098.csv,,0.067098245,0.230395817
charge,[2010.       8.       4.      17.       4.      33.625],4,B0047,98,99,00099.csv,,,
impedance,[2010.       8.       4.      20.      10.       4.812],24,B0047,99,100,00100.csv,,0.065833351,0.220441551
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0047,100,101,00101.csv,1.190255904,,
charge,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,B0047,101,102,00102.csv,,,
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0047,102,103,00103.csv,1.18925638,,
charge,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,B0047,103,104,00104.csv,,,
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0047,104,105,00105.csv,1.167069685,,
charge,[2010.       8.       5.       6.      44.       4.281],4,B0047,105,106,00106.csv,,,
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0047,106,107,00107.csv,1.16153484,,
charge,[2010.       8.       5.      11.       4.      13.765],4,B0047,107,108,00108.csv,,,
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0047,108,109,00109.csv,1.155556384,,
impedance,[2010.       8.       5.      15.      27.      47.125],24,B0047,109,110,00110.csv,,0.069821037,0.247871765
charge,[2010.       8.       5.      15.      59.      42.062],4,B0047,110,111,00111.csv,,,
impedance,[2010.       8.       5.      19.       5.      13.171],24,B0047,111,112,00112.csv,,0.068787809,0.213603366
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0047,112,113,00113.csv,1.148852467,,
charge,[2010.       8.       5.      20.      54.      47.218],4,B0047,113,114,00114.csv,,,
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0047,114,115,00115.csv,1.143572987,,
charge,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,B0047,115,116,00116.csv,,,
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0047,116,117,00117.csv,1.141801538,,
charge,[2010.       8.       6.       5.      31.      48.156],4,B0047,117,118,00118.csv,,,
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0047,118,119,00119.csv,1.136058648,,
charge,[2010.       8.       6.       9.      49.      49.937],4,B0047,119,120,00120.csv,,,
discharge,[2010    8    6   12   51   21],4,B0047,120,121,00121.csv,1.123636468,,
impedance,[2010.       8.       6.      14.      11.      12.234],24,B0047,121,122,00122.csv,,0.07117358,0.23685983
charge,[2010.       8.       6.      14.      43.       7.578],4,B0047,122,123,00123.csv,,,
impedance,[2010.       8.       6.      17.      48.      41.937],24,B0047,123,124,00124.csv,,0.067042457,0.223946196
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0047,124,125,00125.csv,1.13204989,,
charge,[2010.       8.       6.      19.      36.      20.187],4,B0047,125,126,00126.csv,,,
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0047,126,127,00127.csv,1.117010176,,
charge,[2010.      8.      6.     23.     53.     10.89],4,B0047,127,128,00128.csv,,,
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0047,128,129,00129.csv,1.12004304,,
charge,[2010.       8.       7.       4.       9.      31.812],4,B0047,129,130,00130.csv,,,
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0047,130,131,00131.csv,1.105977345,,
charge,[2010.       8.       7.       8.      25.      18.796],4,B0047,131,132,00132.csv,,,
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0047,132,133,00133.csv,0,,
impedance,[2010.       8.       7.      12.      32.      26.234],24,B0047,133,134,00134.csv,,0.07023261,0.243232433
charge,[2010.       8.       7.      13.       4.      21.953],4,B0047,134,135,00135.csv,,,
impedance,[2010.      8.      7.     16.      9.     53.89],24,B0047,135,136,00136.csv,,0.067687003,0.222290508
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0047,136,137,00137.csv,1.190790237,,
impedance,[2010.       8.      10.      17.       4.      18.343],24,B0047,137,138,00138.csv,,0.07161978,0.234037244
charge,[2010.       8.      10.      17.      36.      14.109],4,B0047,138,139,00139.csv,,,
impedance,[2010.       8.      10.      20.      41.      53.921],24,B0047,139,140,00140.csv,,0.070681085,0.195285216
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0047,140,141,00141.csv,1.201238709,,
charge,[2010.       8.      10.      22.      33.      31.875],4,B0047,141,142,00142.csv,,,
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0047,142,143,00143.csv,1.190690955,,
charge,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,B0047,143,144,00144.csv,,,
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0047,144,145,00145.csv,1.176437573,,
charge,[2010.       8.      11.       7.      12.      27.125],4,B0047,145,146,00146.csv,,,
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0047,146,147,00147.csv,1.162811037,,
charge,[2010.       8.      11.      11.      31.      14.703],4,B0047,147,148,00148.csv,,,
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0047,148,149,00149.csv,1.151615284,,
impedance,[2010.     8.    11.    15.    53.    17.5],24,B0047,149,150,00150.csv,,0.07509561,0.238580061
charge,[2010.       8.      11.      16.      25.      13.593],4,B0047,150,151,00151.csv,,,
impedance,[2010.       8.      11.      19.      30.      44.109],24,B0047,151,152,00152.csv,,0.072161644,0.213468052
discharge,[2010.       8.      12.      12.      34.      22.109],4,B0047,152,153,00153.csv,1.15836735,,
impedance,[2010    8   12   13   55   19],24,B0047,153,154,00154.csv,,0.074469924,0.22881371
charge,[2010.      8.     12.     14.     27.     15.14],4,B0047,154,155,00155.csv,,,
impedance,[2010.       8.      12.      17.      32.      50.875],24,B0047,155,156,00156.csv,,0.072065784,0.216996573
discharge,[2010.       8.      12.      18.       4.      47.218],4,B0047,156,157,00157.csv,1.169228529,,
charge,[2010.       8.      12.      19.      22.      39.406],4,B0047,157,158,00158.csv,,,
discharge,[2010.       8.      12.      22.      24.      12.484],4,B0047,158,159,00159.csv,1.158814848,,
charge,[2010.       8.      12.      23.      40.      56.125],4,B0047,159,160,00160.csv,,,
discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0047,160,161,00161.csv,1.143958815,,
charge,[2010.       8.      13.       3.      58.       7.187],4,B0047,161,162,00162.csv,,,
discharge,[2010.       8.      13.       6.      59.      39.343],4,B0047,162,163,00163.csv,1.138394107,,
charge,[2010.       8.      13.       8.      14.      54.843],4,B0047,163,164,00164.csv,,,
discharge,[2010.       8.      13.      11.      16.      29.328],4,B0047,164,165,00165.csv,0,,
impedance,[2010.       8.      13.      11.      55.      20.859],24,B0047,165,166,00166.csv,,0.075881556,0.217169734
charge,[2010.       8.      13.      12.      27.      18.593],4,B0047,166,167,00167.csv,,,
impedance,[2010.       8.      13.      15.      32.      55.359],24,B0047,167,168,00168.csv,,0.072800527,0.216741002
discharge,[2010.       8.      16.      10.      57.       7.937],4,B0047,168,169,00169.csv,1.221310285,,
impedance,[2010.       8.      16.      12.      24.      17.453],24,B0047,169,170,00170.csv,,0.072277377,0.237074828
charge,[2010.       8.      16.      12.      56.      14.546],4,B0047,170,171,00171.csv,,,
impedance,[2.0100e+03 8.0000e+00 1.6000e+01 1.6000e+01 1.0000e+00 5.2046e+01],24,B0047,171,172,00172.csv,,0.072783284,0.215205987
discharge,[2010.       8.      16.      16.      33.      48.968],4,B0047,172,173,00173.csv,1.203106298,,
charge,[2010.       8.      16.      17.      53.      19.203],4,B0047,173,174,00174.csv,,,
discharge,[2010.       8.      16.      20.      54.      56.609],4,B0047,174,175,00175.csv,1.189714711,,
charge,[2010.       8.      16.      22.      13.       2.812],4,B0047,175,176,00176.csv,,,
discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0047,176,177,00177.csv,1.177422569,,
charge,[2010    8   17    2   32   20],4,B0047,177,178,00178.csv,,,
discharge,[2010.       8.      17.       5.      33.      53.718],4,B0047,178,179,00179.csv,1.158443027,,
charge,[2010.       8.      17.       6.      50.      25.203],4,B0047,179,180,00180.csv,,,
discharge,[2010.       8.      17.       9.      52.       5.375],4,B0047,180,181,00181.csv,1.156708752,,
impedance,[2.010e+03 8.000e+00 1.700e+01 1.100e+01 1.200e+01 1.125e+00],24,B0047,181,182,00182.csv,,0.074363602,0.234086318
charge,[2010.       8.      17.      11.      43.      58.265],4,B0047,182,183,00183.csv,,,
impedance,[2010.       8.      17.      14.      49.      38.671],24,B0047,183,184,00184.csv,,0.0730047,0.221713666
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0045,0,185,00185.csv,1.081979388,,
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0045,1,186,00186.csv,,0.072628331,0.24565288
charge,[2010.       7.      21.      17.      25.      40.671],4,B0045,2,187,00187.csv,,,
impedance,[2010    7   21   20   31    5],24,B0045,3,188,00188.csv,,0.065086718,0.214410342
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0045,4,189,00189.csv,0.927952405,,
charge,[2010.       7.      21.      22.      38.      43.484],4,B0045,5,190,00190.csv,,,
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0045,6,191,00191.csv,0.885193608,,
charge,[2010.       7.      22.       3.      14.      53.218],4,B0045,7,192,00192.csv,,,
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0045,8,193,00193.csv,0.85810107,,
charge,[2010.       7.      22.       7.      50.      21.625],4,B0045,9,194,00194.csv,,,
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0045,10,195,00195.csv,0.840935221,,
charge,[2010.       7.      22.      12.      25.       3.656],4,B0045,11,196,00196.csv,,,
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0045,12,197,00197.csv,0.824547194,,
impedance,[2010.       7.      22.      17.       3.       7.062],24,B0045,13,198,00198.csv,,0.071567801,0.229174097
charge,[2010.       7.      22.      17.      34.      59.312],4,B0045,14,199,00199.csv,,,
impedance,[2010.     7.    22.    20.    40.    25.5],24,B0045,15,200,00200.csv,,0.064967621,0.21137225
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0045,16,201,00201.csv,0.793596042,,
impedance,[2010.       7.      23.      11.      35.      36.875],24,B0045,17,202,00202.csv,,0.070859051,0.225367827
charge,[2010.      7.     23.     12.      7.     29.25],4,B0045,18,203,00203.csv,,,
impedance,[2010.       7.      23.      15.      12.      59.218],24,B0045,19,204,00204.csv,,0.065834535,0.224819987
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0045,20,205,00205.csv,0.818367609,,
charge,[2010.       7.      23.      17.      17.      36.625],4,B0045,21,206,00206.csv,,,
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0045,22,207,00207.csv,0.797764428,,
charge,[2010.       7.      23.      21.      50.      50.578],4,B0045,23,208,00208.csv,,,
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0045,24,209,00209.csv,0.799377741,,
charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0045,25,210,00210.csv,,,
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0045,26,211,00211.csv,0.778310744,,
charge,[2010.       7.      24.       6.      55.      11.046],4,B0045,27,212,00212.csv,,,
discharge,[2010    7   24    9   56   39],4,B0045,28,213,00213.csv,0.780373823,,
impedance,[2010.       7.      24.      11.      30.      35.656],24,B0045,29,214,00214.csv,,0.072716117,0.237289325
charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0045,30,215,00215.csv,,,
impedance,[2010.       7.      24.      15.       7.      54.015],24,B0045,31,216,00216.csv,,0.066330544,0.226688423
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0045,32,217,00217.csv,0.771305825,,
impedance,[2010.     7.    27.    17.    47.    10.5],24,B0045,33,218,00218.csv,,0.073793917,0.234028051
charge,[2010.       7.      27.      18.      19.       3.281],4,B0045,34,219,00219.csv,,,
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0045,35,220,00220.csv,,0.066257164,0.20403872
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0045,36,221,00221.csv,0.795279017,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0045,37,222,00222.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0045,38,223,00223.csv,0.782412817,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0045,39,224,00224.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0045,40,225,00225.csv,0.764941499,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0045,41,226,00226.csv,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0045,42,227,00227.csv,0.754489943,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0045,43,228,00228.csv,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0045,44,229,00229.csv,0.750404898,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0045,45,230,00230.csv,,0.074070854,0.247124335
charge,[2010.       7.      28.      18.       7.      53.906],4,B0045,46,231,00231.csv,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0045,47,232,00232.csv,,0.067776274,0.225346728
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0045,48,233,00233.csv,0.740725811,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0045,49,234,00234.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0045,50,235,00235.csv,0,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0045,51,236,00236.csv,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0045,52,237,00237.csv,0.730852559,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0045,53,238,00238.csv,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0045,54,239,00239.csv,0.728725585,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0045,55,240,00240.csv,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0045,56,241,00241.csv,0.716102338,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0045,57,242,00242.csv,,0.075535855,0.226963025
charge,[2010.       7.      29.      16.      59.      23.625],4,B0045,58,243,00243.csv,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0045,59,244,00244.csv,,0.069805634,0.231391799
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0045,60,245,00245.csv,0.712920483,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0045,61,246,00246.csv,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0045,62,247,00247.csv,0.714199183,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0045,63,248,00248.csv,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0045,64,249,00249.csv,0.719057082,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0045,65,250,00250.csv,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0045,66,251,00251.csv,0.717397543,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0045,67,252,00252.csv,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0045,68,253,00253.csv,0.70710275,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0045,69,254,00254.csv,,0.075240638,0.236067929
charge,[2010    7   30   16   20    6],4,B0045,70,255,00255.csv,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0045,71,256,00256.csv,,0.069503016,0.226734584
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0045,72,257,00257.csv,0.703531207,,
charge,[2010.       7.      30.      21.      20.      14.843],4,B0045,73,258,00258.csv,,,
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0045,74,259,00259.csv,0.694110828,,
charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0045,75,260,00260.csv,,,
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0045,76,261,00261.csv,0.691411439,,
charge,[2010.       7.      31.       6.       7.       5.562],4,B0045,77,262,00262.csv,,,
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0045,78,263,00263.csv,0.69715518,,
charge,[2010.       7.      31.      10.      29.      39.359],4,B0045,79,264,00264.csv,,,
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0045,80,265,00265.csv,0.683246022,,
impedance,[2010.       7.      31.      14.      55.      48.421],24,B0045,81,266,00266.csv,,0.075578252,0.238158836
charge,[2010.       7.      31.      15.      27.      42.562],4,B0045,82,267,00267.csv,,,
impedance,[2010.       7.      31.      18.      33.      11.796],24,B0045,83,268,00268.csv,,0.069479301,0.223316338
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0045,84,269,00269.csv,0.682202932,,
